dept_id_1,dept_id_2
01,38
01,39
01,69
01,71
01,73
01,74
02,08
02,51
02,59
02,60
02,77
02,80
03,18
03,23
03,42
03,58
03,63
03,71
04,05
04,06
04,26
04,83
04,84
05,26
05,38
05,73
06,83
07,26
07,30
07,38
07,42
07,43
07,48
07,84
08,51
08,55
09,11
09,31
09,66
10,21
10,51
10,52
10,77
10,89
11,31
11,34
11,66
11,81
12,15
12,30
12,34
12,46
12,48
12,81
12,82
13,30
13,83
13,84
14,27
14,50
14,61
15,19
15,43
15,46
15,48
15,63
16,17
16,24
16,79
16,86
16,87
17,24
17,33
17,79
17,85
18,23
18,36
18,41
18,45
18,58
19,23
19,24
19,46
19,63
19,87
21,39
21,52
21,58
21,70
21,71
21,89
22,29
22,35
22,56
23,36
23,63
23,87
24,33
24,46
24,47
24,87
25,39
25,70
25,90
26,38
26,84
27,28
27,60
27,61
27,76
27,78
27,95
28,41
28,45
28,61
28,72
28,78
28,91
29,56
2A,2B
30,34
30,48
30,84
31,32
31,65
31,81
31,82
32,40
32,47
32,64
32,65
32,82
33,40
33,47
34,81
35,44
35,49
35,50
35,53
35,56
36,37
36,41
36,86
36,87
37,41
37,49
37,72
37,86
38,42
38,69
38,73
39,70
39,71
40,47
40,64
41,45
41,72
42,43
42,63
42,69
42,71
43,48
43,63
44,49
44,56
44,85
45,58
45,77
45,89
45,91
46,47
46,82
47,82
49,53
49,72
49,79
49,85
49,86
50,53
50,61
51,52
51,55
51,77
52,55
52,70
52,88
53,61
53,72
54,55
54,57
54,67
54,88
55,88
57,67
58,71
58,89
59,62
59,80
60,76
60,77
60,80
60,95
61,72
62,80
64,65
67,68
67,88
68,88
68,90
69,71
70,88
70,90
73,74
75,92
75,93
75,94
76,80
77,89
77,91
77,93
77,94
77,95
78,91
78,92
78,95
79,85
79,86
81,82
83,84
86,87
88,90
91,92
91,94
92,93
92,94
92,95
93,94
93,95
